;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
270336;ODAIR CUNHA;74159.0;269.0;2015;MG;PT;55.0;10;TELEFONIA;0;;CELULAR FUNCIONAL;;;0;;52,71;0;52,71;1;2015;0;;;0;0.0;0.0;1625;0
270337;ODAIR CUNHA;74159.0;269.0;2015;MG;PT;55.0;10;TELEFONIA;0;;CELULAR FUNCIONAL;;;0;2015-01-13 00:00:00;229,27;0;229,27;1;2015;0;;;0;0.0;0.0;1625;0
270338;ODAIR CUNHA;74159.0;269.0;2015;MG;PT;55.0;10;TELEFONIA;0;;CELULAR FUNCIONAL;;;0;2015-02-19 00:00:00;6,63;0;6,63;1;2015;0;;;0;0.0;0.0;1625;0
270339;ODAIR CUNHA;74159.0;269.0;2015;MG;PT;55.0;10;TELEFONIA;0;;IMÓVEL FUNCIONAL;;;0;;17,08;0;17,08;2;2015;0;;;0;0.0;0.0;1625;0
270340;ODAIR CUNHA;74159.0;269.0;2015;MG;PT;55.0;10;TELEFONIA;0;;IMÓVEL FUNCIONAL;;;0;;2,35;0;2,35;1;2015;0;;;0;0.0;0.0;1625;0
270341;ODAIR CUNHA;74159.0;269.0;2015;MG;PT;55.0;10;TELEFONIA;0;;RAMAL;;;0;;72,17;0;72,17;7;2015;0;;;0;0.0;0.0;1625;0
270342;ODAIR CUNHA;74159.0;269.0;2015;MG;PT;55.0;10;TELEFONIA;0;;RAMAL;;;0;;15,65;0;15,65;1;2015;0;;;0;0.0;0.0;1625;0
270343;ODAIR CUNHA;74159.0;269.0;2015;MG;PT;55.0;10;TELEFONIA;0;;RAMAL;;;0;;0,68;0;0,68;2;2015;0;;;0;0.0;0.0;1625;0
270344;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;ALGAR TELECOM;71208516000174.0;000164423;0;2015-06-03 00:00:00;1020,13;31;989,13;6;2015;0;;;1203177;5069.0;0.0;705;5717021
270345;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;ATIVA ALARMES MONITORAMENTO 24 HS LTDA;14518825000107.0;00000894;0;2015-03-11 00:00:00;140;0;140;3;2015;0;;;1178898;4980.0;0.0;705;5641887
270346;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;ATIVA ALARMES MONITORAMENTO 24 HS LTDA;14518825000107.0;00001066;0;2015-05-12 00:00:00;140;0;140;4;2015;0;;;1191265;5034.0;0.0;705;5680280
270347;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG;6981180000116.0;001388309;0;2015-06-11 00:00:00;543,06;0;543,06;6;2015;0;;;1207483;5091.0;0.0;705;5730764
270348;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG;6981180000116.0;001464409;0;2015-07-01 00:00:00;527,8;0;527,8;7;2015;0;;;1216437;5119.0;0.0;705;5759171
270349;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG;6981180000116.0;001569334;0;2015-08-01 00:00:00;635,36;0;635,36;8;2015;0;;;1222999;5141.0;0.0;705;5780776
270350;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇÃO S.A;6981180000116.0;001705561;0;2015-10-23 00:00:00;1048,53;13,14;1035,39;10;2015;0;;;1243506;5233.0;0.0;705;5848318
270351;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇÃO S.A;6981180000116.0;001732199;0;2015-11-01 00:00:00;1084,56;20,01;1064,55;11;2015;0;;;1253008;5269.0;0.0;705;5876746
270352;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇAO S.A.;6981180000116.0;001344555;0;2015-04-13 00:00:00;525,78;0;525,78;4;2015;0;;;1188285;5021.0;0.0;705;5671861
270353;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇAO S.A.;6981180000116.0;001361449;0;2015-02-10 00:00:00;479,4;0;479,4;2;2015;0;;;1172688;4953.0;0.0;705;5621561
270354;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇAO S.A.;6981180000116.0;001366120;0;2015-03-12 00:00:00;520,42;0;520,42;3;2015;0;;;1180169;4987.0;0.0;705;5645960
270355;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇAO S.A.;6981180000116.0;001381698;0;2015-05-12 00:00:00;562,42;0;562,42;5;2015;0;;;1197949;5058.0;0.0;705;5701113
270356;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG S.A;6981180000116.0;001665991;0;2015-09-01 00:00:00;652,61;0;652,61;9;2015;0;;;1233611;5191.0;0.0;705;5816427
270357;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CLARO S/A;40432544011262.0;0000006336;0;2015-11-23 00:00:00;144,9;0;144,9;11;2015;0;;;1253006;5269.0;0.0;705;5877098
270358;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CLARO S/A;40432544011262.0;0000006445;0;2015-10-22 00:00:00;351,42;0;351,42;10;2015;0;;;1247153;5247.0;0.0;705;5860255
270359;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CTBC;22231831000107.0;000013589;0;2015-05-03 00:00:00;31,17;0;31,17;6;2015;0;;;1200351;5060.0;0.0;705;5708064
270360;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CTBC;22231831000107.0;000018443;0;2015-03-03 00:00:00;31,08;0;31,08;2;2015;0;;;1184574;5006.0;0.0;705;5659610
270361;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CTBC;22231831000107.0;124;0;2015-06-03 00:00:00;31,17;0;31,17;6;2015;0;;;1207460;5087.0;0.0;705;5730738
270362;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO;25769548000121.0;005493;0;2015-03-09 00:00:00;22,83;0;22,83;2;2015;0;;;1174996;4963.0;0.0;705;5628785
270363;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO;25769548000121.0;007275;0;2015-05-13 00:00:00;22,83;0;22,83;5;2015;0;;;1191735;5037.0;0.0;705;5681575
270364;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO;25769548000121.0;009250;0;2015-07-06 00:00:00;25,09;0;25,09;7;2015;0;;;1207482;5089.0;0.0;705;5730752
270365;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO;25769548000121.0;011225;0;2015-08-31 00:00:00;34,72;0;34,72;8;2015;0;;;1224681;5150.0;0.0;705;5785805
270366;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO;25769548000121.0;174836-9;0;2015-11-25 00:00:00;34,46;1,66;32,8;11;2015;0;;;1253006;5269.0;0.0;705;5876825
270367;ODELMO LEÃO;74752.0;248.0;2015;MG;PP;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTO;25769548000121.0;1748369;0;2015-04-07 00:00:00;22,83;0;22,83;3;2015;0;;;1185464;5006.0;0.0;705;5662660
