;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
98118;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s.n;1;2017-01-06 00:00:00;2323;0;2323;12;2016;0;;;1351129;5687.0;0.0;1006;6187537
98119;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-02-05 00:00:00;400;0;400;1;2016;0;;;1264703;5350.0;0.0;1006;5915862
98120;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-02-05 00:00:00;2100;0;2100;1;2016;0;;;1264703;5350.0;0.0;1006;5915857
98121;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-03-04 00:00:00;400;0;400;2;2016;0;;;1273131;5392.0;0.0;1006;5941541
98122;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-03-04 00:00:00;2100;0;2100;2;2016;0;;;1273131;5392.0;0.0;1006;5941529
98123;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-04-05 00:00:00;400;0;400;3;2016;0;;;1282421;5418.0;0.0;1006;5971694
98124;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-04-05 00:00:00;2100;0;2100;3;2016;0;;;1282421;5418.0;0.0;1006;5971674
98125;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-05-04 00:00:00;400;0;400;4;2016;0;;;1290672;5447.0;0.0;1006;5997106
98126;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-05-04 00:00:00;2100;0;2100;4;2016;0;;;1290672;5447.0;0.0;1006;5997103
98127;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-06-05 00:00:00;400;0;400;5;2016;0;;;1299655;5474.0;0.0;1006;6024986
98128;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-06-05 00:00:00;2100;0;2100;5;2016;0;;;1299655;5474.0;0.0;1006;6024970
98129;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-07-05 00:00:00;424;0;424;6;2016;0;;;1310575;5518.0;0.0;1006;6061227
98130;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-07-05 00:00:00;2323;0;2323;6;2016;0;;;1310575;5518.0;0.0;1006;6061246
98131;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-08-09 00:00:00;424;0;424;7;2016;0;;;1316042;5529.0;0.0;1006;6078436
98132;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-08-09 00:00:00;2323;0;2323;7;2016;0;;;1316042;5529.0;0.0;1006;6078451
98133;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-09-08 00:00:00;424;0;424;8;2016;0;;;1322671;5553.0;0.0;1006;6099229
98134;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-09-08 00:00:00;2323;0;2323;8;2016;0;;;1322668;5553.0;0.0;1006;6099226
98135;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-10-07 00:00:00;424;0;424;9;2016;0;;;1330991;5583.0;0.0;1006;6125978
98136;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-10-07 00:00:00;2323;0;2323;9;2016;0;;;1330991;5583.0;0.0;1006;6125977
98137;EDINHO ARAÚJO;73447.0;344.0;2015;SP;MDB;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;Cell Bens Incorporadora Ltda EPP;19463616000127.0;s/n;1;2016-11-07 00:00:00;438;0;438;10;2016;0;;;1337505;5611.0;0.0;1006;6146288
