;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
314423;ULDURICO JUNIOR;178863.0;220.0;2015;BA;PPL;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;WM COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME;12132854000100.0;000000020;0;2017-07-07 00:00:00;132,6;0;132,6;7;2017;0;;;1406599;5908.0;0.0;2958;6343279
314424;ULDURICO JUNIOR;178863.0;220.0;2015;BA;PPL;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;WM PAPELARIA E ESCRITÓRIO;12132854000100.0;3342;0;2017-02-07 00:00:00;230;0;230;2;2017;0;;;1357229;5719.0;0.0;2958;6206219
314425;ULDURICO JUNIOR;178863.0;220.0;2015;BA;PPL;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA - ME;12132854000100.0;380;0;2017-10-25 00:00:00;202,1;0;202,1;10;2017;0;;;1443897;6019.0;0.0;2958;6444048
314426;ULDURICO JUNIOR;178863.0;220.0;2015;BA;PPL;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO EIXO 208 NORTE LTDA - ME;7743777000195.0;28747;0;2017-03-16 00:00:00;50;0;50;3;2017;0;;;1371836;5800.0;0.0;2958;6248432
314427;ULDURICO JUNIOR;178863.0;220.0;2015;BA;PPL;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO AGUIA DE OURO - EIRELI;692806000198.0;178041;0;2017-01-31 00:00:00;100;0;100;1;2017;0;;;1353156;5694.0;0.0;2958;6194111
314428;ULDURICO JUNIOR;178863.0;220.0;2015;BA;PPL;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO AGUIA DE OURO - EIRELI;692806000198.0;178116;0;2017-02-01 00:00:00;100;0;100;2;2017;0;;;1354084;5703.0;0.0;2958;6196975
314429;ULDURICO JUNIOR;178863.0;220.0;2015;BA;PPL;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO AGUIA DE OURO - EIRELI;692806000198.0;178533;0;2017-02-07 00:00:00;100;0;100;2;2017;0;;;1357211;5719.0;0.0;2958;6206165
314430;ULDURICO JUNIOR;178863.0;220.0;2015;BA;PPL;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO AGUIA DE OURO - EIRELI;692806000198.0;178741;0;2017-02-09 00:00:00;100;0;100;2;2017;0;;;1361793;5745.0;0.0;2958;6220216
314431;ULDURICO JUNIOR;178863.0;220.0;2015;BA;PPL;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO AGUIA DE OURO - EIRELI;692806000198.0;179302;0;2017-02-17 00:00:00;100;0;100;2;2017;0;;;1361793;5745.0;0.0;2958;6220212
314432;ULDURICO JUNIOR;178863.0;220.0;2015;BA;PPL;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO AGUIA DE OURO - EIRELI;692806000198.0;180703;0;2017-03-14 00:00:00;50;0;50;3;2017;0;;;1367236;5770.0;0.0;2958;6235651
