;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
326256;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANCA ADMINISTRADORA DE IMOVEIS LTDA;40231003000150.0;s/n;1;2017-12-20 00:00:00;5107,5;7,5;5100;12;2017;0;;;1474316;6197.0;0.0;3123;6526777
326257;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANCA ADMINISTRADORA DE IMOVEIS LTDA - ME;40231003000150.0;S/N;1;2017-12-05 00:00:00;5393,21;7,5;5385,71;11;2017;0;;;1451058;6047.0;0.0;3123;6464954
326258;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANÇA ADMINISTRADORA LTDA;40231003000150.0;0100100163;1;2017-07-20 00:00:00;5433,4;7,5;5425,9;7;2017;0;;;1417850;5958.0;0.0;3123;6374917
326259;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANÇA ADMINISTRADORA LTDA;40231003000150.0;0100100198;1;2017-10-23 00:00:00;5719,11;7,5;5711,61;10;2017;0;;;1445957;6027.0;0.0;3123;6450564
326260;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANÇA ADMINISTRADORA LTDA;40231003000150.0;s/n;1;2017-02-16 00:00:00;5813,44;7,4;5806,04;1;2017;0;;;1362306;5757.0;0.0;3123;6221507
326261;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANÇA ADMINISTRADORA LTDA;40231003000150.0;S/N;1;2017-02-22 00:00:00;5482,8;7,4;5475,4;2;2017;0;;;1362289;5757.0;0.0;3123;6221452
326262;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANÇA ADMINISTRADORA LTDA;40231003000150.0;s/n;1;2017-03-23 00:00:00;5482;7,4;5474,6;3;2017;0;;;1372662;5808.0;0.0;3123;6250678
326263;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANÇA ADMINISTRADORA LTDA;40231003000150.0;s/n;1;2017-04-19 00:00:00;5489,99;7,4;5482,59;4;2017;0;;;1383701;5849.0;0.0;3123;6278997
326264;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANÇA ADMINISTRADORA LTDA;40231003000150.0;s/n;1;2017-05-22 00:00:00;5433,3;7,4;5425,9;5;2017;0;;;1395410;5877.0;0.0;3123;6311525
326265;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANÇA ADMINISTRADORA LTDA;40231003000150.0;s/n;1;2017-07-07 00:00:00;5433,3;7,4;5425,9;6;2017;0;;;1403509;5903.0;0.0;3123;6334188
326266;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANÇA ADMINISTRADORA LTDA;40231003000150.0;s/n;1;2017-09-11 00:00:00;5719,11;1,8;5717,31;8;2017;0;;;1424312;5973.0;0.0;3123;6393601
326267;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;DRM LANÇA ADMINISTRADORA LTDA;40231003000150.0;s/n;1;2017-09-22 00:00:00;6011,97;7,5;6004,47;9;2017;0;;;1436120;6003.0;0.0;3123;6423753
326268;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;EMYSOUTO PAPELARIA E INFORMÁTICA;13345728000105.0;4481;0;2017-02-03 00:00:00;71,5;0;71,5;2;2017;0;;;1355914;5711.0;0.0;3123;6202069
326269;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;EMYSOUTO PAPELARIA E INFORMÁTICA;13345728000105.0;4520;0;2017-02-09 00:00:00;156,5;0;156,5;2;2017;0;;;1357866;5724.0;0.0;3123;6208127
326270;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;EMYSOUTO PAPELARIA E INFORMÁTICA;13345728000105.0;4545;0;2017-02-17 00:00:00;256;0;256;2;2017;0;;;1365185;5764.0;0.0;3123;6228077
326271;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;LIGHT SERVICOS DE ELETRICIDADE S A;60444437000146.0;0613088;0;2017-11-06 00:00:00;268,78;0;268,78;10;2017;0;;;1451084;6046.0;0.0;3123;6465050
326272;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;LIGHT SERVICOS DE ELETRICIDADE S A;60444437000146.0;3415789;0;2017-12-28 00:00:00;366,49;0;366,49;12;2017;0;;;1474436;6197.0;0.0;3123;6527038
326273;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;LIGHT SERVICOS DE ELETRICIDADE S A;60444437000146.0;3454788;0;2017-09-26 00:00:00;186,84;0;186,84;9;2017;0;;;1445977;6027.0;0.0;3123;6450633
326274;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;LIGHT SERVICOS DE ELETRICIDADE S A;60444437000146.0;3482933;0;2017-08-28 00:00:00;166,26;0;166,26;8;2017;0;;;1431688;5988.0;0.0;3123;6412619
326275;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;LIGHT SERVICOS DE ELETRICIDADE S A;60444437000146.0;3547289;0;2017-11-27 00:00:00;329,51;0;329,51;11;2017;0;;;1463356;6141.0;0.0;3123;6498353
326276;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;LIGHT SERVIÇOS DE ELETRICIDADE S/A;60444437000146.0;3390175;0;2017-05-26 00:00:00;215,98;0;215,98;5;2017;0;;;1403553;5903.0;0.0;3123;6334318
326277;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;LIGHT SERVIÇOS DE ELETRICIDADE S/A;60444437000146.0;3478293;0;2017-03-27 00:00:00;1022,47;0;1022,47;3;2017;0;;;1372678;5808.0;0.0;3123;6250741
326278;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;LIGHT SERVIÇOS DE ELETRICIDADE S/A;60444437000146.0;3482027;0;2017-04-26 00:00:00;473,02;0;473,02;4;2017;0;;;1393198;5872.0;0.0;3123;6305221
326279;WADIH DAMOUS;189593.0;550.0;2015;RJ;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;LIGHT SERVIÇOS DE ELETRICIDADE S/A;60444437000146.0;3483670;0;2017-06-27 00:00:00;169,03;0;169,03;6;2017;0;;;1411558;5927.0;0.0;3123;6356876
