;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
334715;ZÉ AUGUSTO NALIN;191945.0;557.0;2015;RJ;DEM;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;MAGE WORK PLACE ESCRITORIOS COMPARTILHADOS EIRELI - ME;26520094000113.0;1/2018;1;2018-01-22 00:00:00;2500;0;2500;12;2017;0;;;1460895;6141.0;0.0;3135;6491710
334716;ZÉ AUGUSTO NALIN;191945.0;557.0;2015;RJ;DEM;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;MAGE WORK PLACE ESCRITORIOS COMPARTILHADOS EIRELI - ME;26520094000113.0;17/2017;1;2017-11-27 00:00:00;2500;0;2500;10;2017;0;;;1450666;6045.0;0.0;3135;6463675
334717;ZÉ AUGUSTO NALIN;191945.0;557.0;2015;RJ;DEM;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;MAGE WORK PLACE ESCRITORIOS COMPARTILHADOS EIRELI - ME;26520094000113.0;18/2017;1;2017-11-28 00:00:00;2500;0;2500;11;2017;0;;;1450670;6043.0;0.0;3135;6463715
334718;ZÉ AUGUSTO NALIN;191945.0;557.0;2015;RJ;DEM;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;MAGÉ WORKPLACE;26520094000113.0;10/2017;1;2017-10-04 00:00:00;2500;0;2500;9;2017;0;;;1433902;5994.0;0.0;3135;6417188
334719;ZÉ AUGUSTO NALIN;191945.0;557.0;2015;RJ;DEM;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;MAGÉ WORKPLACE;26520094000113.0;11/2017;1;2017-10-04 00:00:00;2500;0;2500;7;2017;0;;;1433848;5994.0;0.0;3135;6417012
334720;ZÉ AUGUSTO NALIN;191945.0;557.0;2015;RJ;DEM;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;MAGÉ WORKPLACE;26520094000113.0;328/2017;1;2017-09-04 00:00:00;2500;0;2500;8;2017;0;;;1426197;5975.0;0.0;3135;6398644
334721;ZÉ AUGUSTO NALIN;191945.0;557.0;2015;RJ;DEM;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;MAGÉ WORKPLACE;26520094000113.0;5/2017;1;2017-06-30 00:00:00;2500;0;2500;6;2017;0;;;1426191;5975.0;0.0;3135;6398639
334722;ZÉ AUGUSTO NALIN;191945.0;557.0;2015;RJ;DEM;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;MANOEL CASSIO DE SOUZA GUEDES-ME;7266260000152.0;8375;0;2017-09-29 00:00:00;422;0;422;9;2017;0;;;1429471;5984.0;0.0;3135;6406509
334723;ZÉ AUGUSTO NALIN;191945.0;557.0;2015;RJ;DEM;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;SACOBRAS - COMÉRCIO DE EMBALAGENS LTDA;6245627000199.0;019266;0;2017-09-29 00:00:00;180;0;180;9;2017;0;;;1429470;5983.0;0.0;3135;6406497
334724;ZÉ AUGUSTO NALIN;191945.0;557.0;2015;RJ;DEM;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO ALMENARA LTDA.;5299796000149.0;299425;0;2017-03-14 00:00:00;100;0;100;3;2017;0;;;1365965;5765.0;0.0;3135;6230457
