;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
0;ABEL MESQUITA JR.;178957.0;1.0;2015;RR;DEM;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO AEROPORTO LTDA;8202116000115.0;88479;4;2018-02-06 00:00:00;70;0;70;2;2018;0;;;1471159;6192.0;0.0;3074;6519085
1;ABEL MESQUITA JR.;178957.0;1.0;2015;RR;DEM;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;Auto Posto JK Ltda.;3482208000182.0;787829;0;2018-04-02 00:00:00;200;0;200;4;2018;0;;;1497012;6289.0;0.0;3074;6586329
2;ABEL MESQUITA JR.;178957.0;1.0;2015;RR;DEM;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO PREMIUM LTDA;15369957000187.0;1310;4;2018-03-05 00:00:00;1492,81;0;1492,81;3;2018;0;;;1471173;6192.0;0.0;3074;6519234
3;ABEL MESQUITA JR.;178957.0;1.0;2015;RR;DEM;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO PREMIUM LTDA;15369957000187.0;1397;4;2018-04-06 00:00:00;1474,33;0;1474,33;3;2018;0;;;1483154;6238.0;0.0;3074;6549679
4;ABEL MESQUITA JR.;178957.0;1.0;2015;RR;DEM;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO PREMIUM LTDA - ME;15369957000187.0;1237;4;2018-01-30 00:00:00;1513,82;0;1513,82;1;2018;0;;;1463325;6139.0;0.0;3074;6498316
5;ABEL MESQUITA JR.;178957.0;1.0;2015;RR;DEM;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO PREMIUM LTDA - ME;15369957000187.0;1457;4;2018-05-03 00:00:00;1507,24;0;1507,24;4;2018;0;;;1496932;6289.0;0.0;3074;6586061
6;ABEL MESQUITA JR.;178957.0;1.0;2015;RR;DEM;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;AUTO POSTO PREMIUM LTDA - ME;15369957000187.0;1596;4;2018-06-07 00:00:00;2321,67;0;2321,67;5;2018;0;;;1510408;6333.0;0.0;3074;6620113
7;ABEL MESQUITA JR.;178957.0;1.0;2015;RR;DEM;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;BRASAL COMBUSTIVEIS LTDA;97626000168.0;301657;4;2018-02-07 00:00:00;70;0;70;2;2018;0;;;1471159;6192.0;0.0;3074;6519094
8;ABEL MESQUITA JR.;178957.0;1.0;2015;RR;DEM;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;306597003112.0;67680;4;2018-02-22 00:00:00;40;0;40;2;2018;0;;;1471159;6192.0;0.0;3074;6519154
9;ABEL MESQUITA JR.;178957.0;1.0;2015;RR;DEM;55.0;3;COMBUSTÍVEIS E LUBRIFICANTES.;1;Veículos Automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;306597006308.0;149290;4;2018-02-20 00:00:00;160;0;160;2;2018;0;;;1471159;6192.0;0.0;3074;6519119
