;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
64505;JAIME MARTINS;74665.0;240.0;2015;MG;PROS;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;ALGAR TELECOM S/A;71208516000174.0;000112230;0;2018-03-03 00:00:00;128,42;0;128,42;2;2018;0;;;1480040;6223.0;0.0;1050;6541284
64506;JAIME MARTINS;74665.0;240.0;2015;MG;PROS;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;ALGAR TELECOM S/A;71208516000174.0;000114309;0;2018-02-03 00:00:00;131,42;3;128,42;2;2018;0;;;1467881;6190.0;0.0;1050;6510760
64507;JAIME MARTINS;74665.0;240.0;2015;MG;PROS;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUICAO S.A;6981180000116.0;002748102;0;2018-01-11 00:00:00;405,88;8,64;397,24;1;2018;0;;;1470590;6180.0;0.0;1050;6517532
64508;JAIME MARTINS;74665.0;240.0;2015;MG;PROS;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUICAO S.A;6981180000116.0;004074035;0;2018-01-16 00:00:00;226,69;0;226,69;1;2018;0;;;1474449;6198.0;0.0;1050;6527058
64509;JAIME MARTINS;74665.0;240.0;2015;MG;PROS;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUICAO S.A;6981180000116.0;023073968;0;2018-04-11 00:00:00;576,71;0;576,71;4;2018;0;;;1490610;6269.0;0.0;1050;6569177
64510;JAIME MARTINS;74665.0;240.0;2015;MG;PROS;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇÃO S.A.;6981180000116.0;009478248;0;2018-02-09 00:00:00;453,83;0;453,83;2;2018;0;;;1482164;6233.0;0.0;1050;6546876
64511;JAIME MARTINS;74665.0;240.0;2015;MG;PROS;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇÃO S.A.;6981180000116.0;010837055;0;2018-02-16 00:00:00;172,71;0;172,71;2;2018;0;;;1494496;6276.0;0.0;1050;6579459
64512;JAIME MARTINS;74665.0;240.0;2015;MG;PROS;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇÃO S.A.;6981180000116.0;016235970;0;2018-03-12 00:00:00;494,48;0;494,48;3;2018;0;;;1488915;6254.0;0.0;1050;6564711
64513;JAIME MARTINS;74665.0;240.0;2015;MG;PROS;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇÃO S.A.;6981180000116.0;017587725;0;2018-03-15 00:00:00;221,98;0;221,98;3;2018;0;;;1494501;6276.0;0.0;1050;6579449
64514;JAIME MARTINS;74665.0;240.0;2015;MG;PROS;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇÃO S.A.;6981180000116.0;024370578;0;2018-04-18 00:00:00;157,8;0;157,8;4;2018;0;;;1504168;6306.0;0.0;1050;6602757
