;txNomeParlamentar;idecadastro;nuCarteiraParlamentar;nuLegislatura;sgUF;sgPartido;codLegislatura;numSubCota;txtDescricao;numEspecificacaoSubCota;txtDescricaoEspecificacao;txtFornecedor;txtCNPJCPF;txtNumero;indTipoDocumento;datEmissao;vlrDocumento;vlrGlosa;vlrLiquido;numMes;numAno;numParcela;txtPassageiro;txtTrecho;numLote;numRessarcimento;vlrRestituicao;nuDeputadoId;ideDocumento
114786;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUICAO S.A;6981180000116.0;002612737;0;2018-01-10 00:00:00;153,21;5,11;148,1;1;2018;0;;;1469236;6175.0;0.0;2305;6514083
114787;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUICAO S.A;6981180000116.0;009270356;0;2018-02-08 00:00:00;131,12;1,81;129,31;2;2018;0;;;1475011;6202.0;0.0;2305;6528358
114788;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUICAO S.A;6981180000116.0;016051497;0;2018-03-09 00:00:00;236,85;235;1,85;3;2018;0;;;1481851;6233.0;0.0;2305;6546070
114789;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇÃO S.A.;6981180000116.0;022861340;0;2018-04-10 00:00:00;250,49;4,78;245,71;4;2018;0;;;1493685;6276.0;0.0;2305;6577223
114790;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇÃO S.A.;6981180000116.0;029680697;0;2018-05-10 00:00:00;221,38;4,56;216,82;5;2018;0;;;1501882;6302.0;0.0;2305;6597050
114791;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇÃO S.A.;6981180000116.0;036470220;0;2018-06-09 00:00:00;246,66;0,71;245,95;6;2018;0;;;1505823;6316.0;0.0;2305;6606887
114792;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CEMIG DISTRIBUIÇÃO S.A.;6981180000116.0;043373158;0;2018-07-09 00:00:00;304,35;0;304,35;7;2018;0;;;1516698;6354.0;0.0;2305;6636306
114793;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CLARO;40432544011262.0;0000119274;0;2018-05-09 00:00:00;1103,84;20,75;1083,09;4;2018;0;;;1501884;6306.0;0.0;2305;6597118
114794;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CLARO;40432544011262.0;0000119613;0;2018-04-09 00:00:00;1128,79;15,6;1113,19;3;2018;0;;;1488946;6263.0;0.0;2305;6564863
114795;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CLARO S.A.;40432544011262.0;0000117885;0;2018-03-02 00:00:00;984,57;38,06;908,45;2;2018;0;;;1481852;6234.0;0.0;2305;6546100
114796;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CLARO S.A.;40432544011262.0;0000117885;0;2018-03-02 00:00:00;984,57;38,06;38,06;2;2018;0;;;1481852;6250.0;0.0;2305;6546100
114797;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;CLARO S.A.;40432544011262.0;0000118408;0;2018-02-08 00:00:00;684,58;14,88;669,7;1;2018;0;;;1471428;6206.0;0.0;2305;6519769
114798;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG;17281106000103.0;00118035506384;0;2018-01-18 00:00:00;60,51;2,02;58,49;1;2018;0;;;1469236;6175.0;0.0;2305;6514077
114799;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG;17281106000103.0;00118096113587;0;2018-02-16 00:00:00;63,38;0,14;63,24;2;2018;0;;;1471429;6198.0;0.0;2305;6519749
114800;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG;17281106000103.0;00118160886332;0;2018-03-19 00:00:00;133,9;0;133,9;3;2018;0;;;1481851;6233.0;0.0;2305;6546082
114801;PADRE JOÃO;160556.0;259.0;2015;MG;PT;55.0;1;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;0;;COPASA;17281106000103.0;00118230581144;0;2018-04-20 00:00:00;101,09;0;101,09;4;2018;0;;;1493685;6276.0;0.0;2305;6577229
